Entity,Code,Day,Biweekly cases per million people
Afghanistan,AFG,2020-12-18,73.904
Afghanistan,AFG,2020-12-19,77.017
Afghanistan,AFG,2020-12-20,72.674
Afghanistan,AFG,2020-12-21,69.712
Afghanistan,AFG,2020-12-22,69.084
Afghanistan,AFG,2020-12-23,67.879
Afghanistan,AFG,2020-12-24,70.716
Afghanistan,AFG,2020-12-25,71.344
Afghanistan,AFG,2020-12-26,73.753
Afghanistan,AFG,2020-12-27,72.699
Afghanistan,AFG,2020-12-28,68.632
Afghanistan,AFG,2020-12-29,66.85
Afghanistan,AFG,2020-12-30,65.946
Afghanistan,AFG,2020-12-31,60.323
Afghanistan,AFG,2021-01-01,58.014
Afghanistan,AFG,2021-01-02,53.47
Afghanistan,AFG,2021-01-03,54.549
Afghanistan,AFG,2021-01-04,56.005
Afghanistan,AFG,2021-01-05,53.294
Afghanistan,AFG,2021-01-06,51.085
Afghanistan,AFG,2021-01-07,46.441
Afghanistan,AFG,2021-01-08,43.604
Afghanistan,AFG,2021-01-09,41.069
Afghanistan,AFG,2021-01-10,41.194
Afghanistan,AFG,2021-01-11,38.433
Afghanistan,AFG,2021-01-12,36.073
Afghanistan,AFG,2021-01-13,34.14
Afghanistan,AFG,2021-01-14,36.274
Afghanistan,AFG,2021-01-15,33.086
Afghanistan,AFG,2021-01-16,33.94
Afghanistan,AFG,2021-01-17,32.007
Afghanistan,AFG,2021-01-18,28.944
Afghanistan,AFG,2021-01-19,28.367
Afghanistan,AFG,2021-01-20,29.446
Afghanistan,AFG,2021-01-21,30.024
Afghanistan,AFG,2021-01-22,28.894
Afghanistan,AFG,2021-01-23,29.095
Afghanistan,AFG,2021-01-24,27.764
Afghanistan,AFG,2021-01-25,28.467
Afghanistan,AFG,2021-01-26,29.27
Afghanistan,AFG,2021-01-27,29.22
Afghanistan,AFG,2021-01-28,28.015
Afghanistan,AFG,2021-01-29,27.814
Afghanistan,AFG,2021-01-30,26.861
Afghanistan,AFG,2021-01-31,26.082
Afghanistan,AFG,2021-02-01,25.028
Afghanistan,AFG,2021-02-02,24.601
Afghanistan,AFG,2021-02-03,22.493
Afghanistan,AFG,2021-02-04,20.786
Afghanistan,AFG,2021-02-05,19.631
Afghanistan,AFG,2021-02-06,19.355
Afghanistan,AFG,2021-02-07,18.576
Afghanistan,AFG,2021-02-08,17.246
Afghanistan,AFG,2021-02-09,15.915
Afghanistan,AFG,2021-02-10,13.757
Afghanistan,AFG,2021-02-11,13.28
Afghanistan,AFG,2021-02-12,12.702
Afghanistan,AFG,2021-02-13,11.673
Afghanistan,AFG,2021-02-14,11.773
Afghanistan,AFG,2021-02-15,11.422
Afghanistan,AFG,2021-02-16,9.966
Afghanistan,AFG,2021-02-17,9.188
Afghanistan,AFG,2021-02-18,8.184
Afghanistan,AFG,2021-02-19,7.782
Afghanistan,AFG,2021-02-20,6.276
Afghanistan,AFG,2021-02-21,6.753
Afghanistan,AFG,2021-02-22,6.477
Afghanistan,AFG,2021-02-23,6.577
Afghanistan,AFG,2021-02-24,6.577
Afghanistan,AFG,2021-02-25,6.527
Afghanistan,AFG,2021-02-26,6.301
Afghanistan,AFG,2021-02-27,5.874
Afghanistan,AFG,2021-02-28,5.573
Afghanistan,AFG,2021-03-01,5.498
Afghanistan,AFG,2021-03-02,6.05
Afghanistan,AFG,2021-03-03,5.774
Afghanistan,AFG,2021-03-04,5.473
Afghanistan,AFG,2021-03-05,6.326
Afghanistan,AFG,2021-03-06,6.527
Afghanistan,AFG,2021-03-07,6.1
Afghanistan,AFG,2021-03-08,6.502
Afghanistan,AFG,2021-03-09,5.774
Afghanistan,AFG,2021-03-10,5.774
Afghanistan,AFG,2021-03-11,5.949
Afghanistan,AFG,2021-03-12,6.602
Afghanistan,AFG,2021-03-13,6.326
Afghanistan,AFG,2021-03-14,6.803
Afghanistan,AFG,2021-03-15,6.326
Afghanistan,AFG,2021-03-16,5.924
Afghanistan,AFG,2021-03-17,6.175
Afghanistan,AFG,2021-03-18,6.753
Afghanistan,AFG,2021-03-19,6.075
Afghanistan,AFG,2021-03-20,6.351
Afghanistan,AFG,2021-03-21,6.426
Afghanistan,AFG,2021-03-22,6.954
Afghanistan,AFG,2021-03-23,7.556
Afghanistan,AFG,2021-03-24,7.481
Afghanistan,AFG,2021-03-25,7.757
Afghanistan,AFG,2021-03-26,7.405
Afghanistan,AFG,2021-03-27,8.309
Afghanistan,AFG,2021-03-28,7.757
Afghanistan,AFG,2021-03-29,8.46
Afghanistan,AFG,2021-03-30,9.765
Afghanistan,AFG,2021-03-31,10.995
Afghanistan,AFG,2021-04-01,11.874
Afghanistan,AFG,2021-04-02,12.627
Afghanistan,AFG,2021-04-03,12.602
Afghanistan,AFG,2021-04-04,14.384
Afghanistan,AFG,2021-04-05,14.158
Afghanistan,AFG,2021-04-06,15.112
Afghanistan,AFG,2021-04-07,17.095
Afghanistan,AFG,2021-04-08,17.999
Afghanistan,AFG,2021-04-09,19.204
Afghanistan,AFG,2021-04-10,21.438
Afghanistan,AFG,2021-04-11,21.739
Afghanistan,AFG,2021-04-12,23.095
Afghanistan,AFG,2021-04-13,24.601
Afghanistan,AFG,2021-04-14,26.057
Afghanistan,AFG,2021-04-15,25.53
Afghanistan,AFG,2021-04-16,26.107
Afghanistan,AFG,2021-04-17,28.266
Afghanistan,AFG,2021-04-18,28.04
Afghanistan,AFG,2021-04-19,29.647
Afghanistan,AFG,2021-04-20,31.58
Afghanistan,AFG,2021-04-21,33.664
Afghanistan,AFG,2021-04-22,34.366
Afghanistan,AFG,2021-04-23,38.232
Afghanistan,AFG,2021-04-24,39.814
Afghanistan,AFG,2021-04-25,42.249
Afghanistan,AFG,2021-04-26,44.508
Afghanistan,AFG,2021-04-27,46.717
Afghanistan,AFG,2021-04-28,47.144
Afghanistan,AFG,2021-04-29,51.261
Afghanistan,AFG,2021-04-30,53.545
Afghanistan,AFG,2021-05-01,55.679
Afghanistan,AFG,2021-05-02,58.466
Afghanistan,AFG,2021-05-03,60.298
Afghanistan,AFG,2021-05-04,63.411
Afghanistan,AFG,2021-05-05,64.842
Afghanistan,AFG,2021-05-06,71.544
Afghanistan,AFG,2021-05-07,73.126
Afghanistan,AFG,2021-05-08,75.937
Afghanistan,AFG,2021-05-09,75.285
